Child	Parent
processed food product	foodon product type
food product by meal type	foodon product type
multi-component food	foodon product type
biotechnologically derived food	foodon product type
food product by consumer group	foodon product type
vegetarian food product	foodon product type
food product analog	foodon product type
food product by process	foodon product type
food product by quality	foodon product type
foodon product type template	foodon product type
prepared food product	foodon product type
food component	foodon product type
food product by organism	foodon product type
cultural food product	foodon product type
processed meat food product	processed food product
refined or partially-refined food product	processed food product
processed cheese food product	processed food product
dietary or therapeutic formulation food product	processed food product
dessert food	food product by meal type
convenience food	food product by meal type
dinner food	food product by meal type
lunch food	food product by meal type
hors d'oeuvre	food product by meal type
snack food	food product by meal type
beverage food product	food product by meal type
breakfast food	food product by meal type
raclette (dish)	multi-component food
multi-component fruit product	multi-component food
adobo	multi-component food
pupusa (dish)	multi-component food
multi-component meat product	multi-component food
soy and corn bread mix	multi-component food
akutaq	multi-component food
hazelnut chocolate spread	multi-component food
hushpuppy	multi-component food
multi-component pasta product	multi-component food
multi-component vegetable product	multi-component food
fried rice	multi-component food
multi-component seafood product	multi-component food
maple spread	multi-component food
halva	multi-component food
thalipeeth	multi-component food
flatbread wrap	multi-component food
multi-component bean product	multi-component food
soup food product	multi-component food
quenelle	multi-component food
chocolate-coated banana (frozen)	multi-component food
cardamom seed (candy-coated)	multi-component food
mushroom with seafood (canned)	multi-component food
tamale	multi-component food
multi-component honey product	multi-component food
scrapple	multi-component food
tajine	multi-component food
banana and mackerel (frozen)	multi-component food
fajita	multi-component food
grapefruit and orange segments in syrup (canned)	multi-component food
risotto	multi-component food
sushi	multi-component food
genetically modified food	biotechnologically derived food
food product for animal	food product by consumer group
food for infants or young children	food product by consumer group
dairy product analog	food product analog
dessert analog (frozen)	food product analog
egg product analog	food product analog
chocolate product analog	food product analog
protein food analog	food product analog
seafood product analog	food product analog
marzipan analog	food product analog
imitation food product	food product analog
fish food product analog	food product analog
beverage analog	food product analog
meat product analog	food product analog
artificial sweetener food product	food product analog
food (boiled)	food product by process
food (cleaned)	food product by process
food (seasoned)	food product by process
food (hulled)	food product by process
food (chilled)	food product by process
food (ground)	food product by process
food (organically grown)	food product by process
bakery food product	food product by process
food (frozen)	food product by process
food (fried)	food product by process
food (milled)	food product by process
food (precooked, frozen)	food product by process
food (breaded)	food product by process
food (steamed)	food product by process
food (blanched)	food product by process
food (comminuted)	food product by process
food (pasteurized)	food product by process
food (deep-fried)	food product by process
food (textured)	food product by process
food (hydrolized)	food product by process
food (pickled)	food product by process
food (filled)	food product by process
food (preserved)	food product by process
food (colored)	food product by process
food (flavored)	food product by process
food (batter-coated)	food product by process
food (rehydrated)	food product by process
food (peeled)	food product by process
food (puffed)	food product by process
food (salted)	food product by process
food (cooked)	food product by process
food (packaged)	food product by quality
food (liquid)	food product by quality
food (chilled)	food product by quality
food (smoked or smoke-flavored)	food product by quality
food (solid)	food product by quality
food (raw)	food product by quality
food (semisolid)	food product by quality
food (frozen)	food product by quality
food (heat treated)	food product by quality
food (fresh)	food product by quality
food (powdered)	food product by quality
food (precooked)	food product by quality
food (deep-fried)	food product by quality
food (fat or oil coated)	food product by quality
food (semiliquid)	food product by quality
food (chopped)	food product by quality
food (sliced)	food product by quality
burrito	prepared food product
sour curry (dish)	prepared food product
pie food product	prepared food product
knish	prepared food product
cauliflower au gratin (dish)	prepared food product
beans in chili sauce with turtle meat (dish)	prepared food product
potato soup	prepared food product
meal (ready-to-consume)	prepared food product
rennet food product	prepared food product
quesadilla	prepared food product
nachos	prepared food product
meat (prepared)	prepared food product
ossobuco	prepared food product
haggis	prepared food product
leftover	prepared food product
taco	prepared food product
tableted food product	prepared food product
solid food (prepared, ready for consumption)	prepared food product
chili con carne (dish)	prepared food product
chow mein mix	prepared food product
mexican rice (dish)	prepared food product
giardiniere pickle	prepared food product
chow mein	prepared food product
chicken and rice (dish)	prepared food product
falafel (whole, cooked)	prepared food product
refried beans (dish)	prepared food product
sandwich food product	prepared food product
frybread	prepared food product
samosa	prepared food product
tataki	prepared food product
mitsumame (jelly cube)	prepared food product
salad food product	prepared food product
prepared seafood product	prepared food product
chop suey	prepared food product
