Type;FDC data type;space sep;Find;Replace
;;1;au gratin;au-gratin
PhraseSynonym;;1;baby food;baby-food
;;1;chop suey;chop-suey
;;1;chow mein;chow-mein
;;1;cooking;cooked
;;1;custard-like;custard
;branded;1;DAIRY FREE;no-dairy
;branded;1;dairy-free;no-dairy
;;1;dark-green;green
;;1;excluding potatoes;no-potatoes
PhraseSynonym;;1;fat free;no-fat
PhraseSynonym;;1;fat not added;no-fat
;;1;fat not added;no-fat
;;1;fat/calorie;fat calorie
;;1;General Tso;General-Tso
;branded;1;GRADE A;grade-a
;;1;grass-fed;grass fed
;;1;half & half;half-and-half
FoodName;;1;half and half;half-and-half
;;1;honey-roasted;honey roasted
FoodName;;1;ice cream;ice-cream
Synonym;;1;imitation;substitute
;;1;Kung pao ;Kung-Pao
PhraseSynonym;;1;lactose free;lactose-free
;;1;lactosefree;lactose-free
PhraseSynonym;;1;lactose reduced;low-lactose
;;1;lau lau;lau-lau
PhraseSynonym;;1;low fat;low-fat
PhraseSynonym;;1;low moisture;low-moisture
PhraseSynonym;;1;low sodium;low-sodium
;;1;margarine-like;margarine
;;1;mayonnaise-type;mayonnaise type
;;1;meatless;
Synonym;;1;mock;substitute
;;1;Moo Goo Gai Pan;Moo-Goo-Gai-Pan
;branded;1;no beans;no-beans
;;1;no dressing;no-dressing
PhraseSynonym;;1;no noodles;no-noodles
;;1;no potatoes;no-potatoes
;;1;no rice;no-rice
;;1;no sodium;no-sodium
PhraseSynonym;;1;non Fat;no-fat
;;1;nonfat;no-fat
;;1;nong;nog
PhraseSynonym;;1;not reconstituted;original
;;1;part-skim;low-fat
;;1;part skim;low-fat
FoodName;;1;pork chop;pork-chop
;;1;reduced calorie;low-calorie
PhraseSynonym;;1;reduced fat;low-fat
;;1;reduced sodium;low-sodium
;;1;reduced sugar;low-sugar
;;1;rice-vegetable;rice vegetable
FoodName;;1;salad dressing;salad-dressing
;;1;salted;salt
;;1;SEASIONING;seasoning
;;1;shrimp-egg;shrimp-egg
FoodName;;1;skim milk;skimilk
PhraseSynonym;;1;skin not eaten;no-skin
PhraseSynonym;;1;sugar-free;sugar-free
;branded;1;TAIL OFF;tail-off
;branded;1;tail-on;tail
;;1;tomato-based ;tomato based
;;1;unsalted;no-salt
;;1;unsweetened;no-sugar
Nutrient;;1;Vit A;Vitamin-A
