;branded;wweia;category
0;Fish & Seafood;;Seafood
1;Pork - Prepared/Processed;;RedMeat
2;Processed Cheese & Cheese Novelties;;Cheese
3;Cream;;Dairy
4;Frozen Poultry;;WhiteMeat
5;Amino Acid Supplements;;
6;Canned Seafood;;Seafood
7;Egg Based Products / Meals - Not Ready to Eat (Frozen);;
8;Plant Based Milk;;Dairy
9;Canned Meat;;Meat
10;Canned Tuna;;Seafood
11;Condiments;;
12;Butter & Spread;;Dairy
13;Water;;Water
14;Milk;;Dairy
15;Health Care;;
16;Frozen Patties and Burgers;;Meat
17;Sausages;;Meat
18;Seasoning Mixes, Salts, Marinades & Tenderizers;;
19;Pepperoni;;RedMeat
20;Eggs & Egg Substitutes;;
21;Poultry;;WhiteMeat
22;Frozen Fish & Seafood;;Seafood
23;Vegetable & Cooking Oils;;Oil
24;Vitamins;;
25;Other Meats;;Meat
26;Bacon;;RedMeat
27;Cheese;;Cheese
28;Frozen Bacon;;RedMeat
29;Beef - Prepared/Processed;;RedMeat
30;Frozen Sausages;;Meat
31;Other Frozen Meats;;Meat
32;Digestive & Fiber Supplements;;
33;Pork Sausages - Prepared/Processed;;RedMeat
34;Antioxidant Supplements;;
35;Yogurt;;Yogurt
36;Chewing Gum & Mints;;
37;Condiments, Oils & Dressing;;Oil
38;Poultry, Chicken & Turkey;;WhiteMeat
39;Pepperoni, Salami & Cold Cuts;;RedMeat
40;Sausages, Hotdogs & Brats;;RedMeat
41;Bacon, Sausages & Ribs;;RedMeat
42;Frozen Bacon, Sausages & Ribs;;RedMeat
43;Frozen Poultry, Chicken & Turkey;;WhiteMeat
44;Frozen Sausages, Hotdogs & Brats;;RedMeat
45;;Cream and cream substitutes;Dairy
46;;Cream cheese, sour cream, whipped cream;Dairy
47;;Milk, whole;Dairy
48;;Milk, reduced fat;Dairy
49;;Milk, lowfat;Dairy
50;;Milk, nonfat;Dairy
51;;Flavored milk, whole;Dairy
52;;Flavored milk, reduced fat;Dairy
53;;Flavored milk, lowfat;Dairy
54;;Flavored milk, nonfat;Dairy
55;;Milk shakes and other dairy drinks;Dairy
56;;Milk substitutes;
57;;Cheese;Cheese
58;;Cottage/ricotta cheese;Cheese
59;;Yogurt, regular;Yogurt
60;;Yogurt, Greek;Yogurt
61;;Beef, excludes ground;RedMeat
62;;Ground beef;RedMeat
63;;Pork;Meat
64;;Bacon;RedMeat
65;;Lamb, goat, game;RedMeat
66;;Liver and organ meats;RedMeat
67;;Chicken, whole pieces;WhiteMeat
68;;Chicken patties, nuggets and tenders;WhiteMeat
69;;Turkey, duck, other poultry;WhiteMeat
70;;Cold cuts and cured meats;RedMeat
71;;Frankfurters;RedMeat
72;;Sausages;Meat
73;;Fish;Seafood
74;;Shellfish;Seafood
75;;Eggs and omelets;
76;;Nuts and seeds;
77;;Butter and animal fats;Oil
78;;Margarine;Oil
79;;Meat mixed dishes;Meat
80;;Poultry mixed dishes;WhiteMeat
81;;Protein and nutritional powders;
82;;Seafood mixed dishes;Seafood
83;;Processed soy products;
84;;Flavored or carbonated water;Water
85;;Tap water;Water
86;;Bottled water;Water
